genomes,LOR002C,LOR003C,LOR005C,LOR006C,LOR007C,LOR008C,LOR009C,LOR011C,LOR012C,LOR013C,LOR014C,LOR015C,LOR016C,LOR017C,LOR018C,LOR019C,LOR020C,LOR021C,LOR022C,LOR023C,LOR024C,LOR025C,LOR026C,LOR027C,LOR028C,LOR029C,LOR030C,LOR033C,LOR034C,LOR036C,LOR037C,LOR042C,LOR046C,LOR051C,LOR054C,LOR055C,LOR058C,LOR060C,LOR061C,LOR062C,LOR063C,LOR065C,LOR070C,LOR072C,LOR074C,LOR076C,LOR078C,LOR081C,LOR082C,LOR083C,LOR084C,LOR085C,LOR086C,LOR090C,LOR091C,LOR098C,LOR099C,LOR101C,LOR102C,LOR103C,LOR202C,LOR203C,LOR204C,LOR206C,LOR207C,LOR208C,LOR210C,LOR211C,LOR212C,LOR214C,LOR215C,LOR216C,LOR217C,LOR218C,LOR219C,LOR220C,LOR221C,LOR222C,LOR223C,LOR224C,LOR225C,LOR226C,LOR227C,LOR228C,LOR229C,LOR230C,LOR231C,LOR233C,LOR234C,LOR235C,LOR237C,LOR238C,LOR239C,LOR240C,LOR241C,LOR242C,LOR243C,LOR246C,LOR248C,LOR249C,LOR254C,LOR258C,LOR259C,LOR260C,LOR262C,LOR264C,LOR269C,LOR270C,LOR272C,LOR274C,LOR275C,LOR279C,LOR281C,LOR282C,LOR283C,LOR284C,LOR287C,LOR288C,LOR289C,LOR294C,LOR295C,LOR300C,LOR301C,LOR303C
LOR021C11205,0,0,193.0860968,0,149.5226964,0,182.1019305,83.3494488,145.1590389,0,46.6570425,0,47.7084506,133.5744337,0,0,37.1344506,78.6433081,27.9497075,109.745363,0,0,2.1934725,56.6113968,27.0810696,0,233.688976,32.9023695,87.7202914,37.7972347,22.372976,32.085455,44.5973482,39.8439742,36.0880416,90.2134326,0,0,20.101189,100.5457742,69.0969758,108.681068,103.200753,133.904121,26.258607,62.2271403,11.2992168,12.5371344,92.4101472,16.7020064,32.4170896,43.2375072,22.7326614,24.6600126,143.174682,0,155.8616472,280.6950554,162.8125247,30.3107716,189.1178625,258.9689892,236.0241774,7.9716544,52.2657672,0,29.4420228,52.3939752,0,106.3420832,33.2866206,95.969287,213.6350304,172.7504496,112.298499,116.245576,16.172205,6.7772466,131.416857,167.8547136,40.7423909,125.205766,247.476999,103.7555701,72.458247,106.9831035,100.8389501,124.3593431,75.1732016,198.1075304,65.107471,72.448114,78.4263062,110.5473075,0,4.9162366,60.0709572,154.367232,47.6228625,318.3797232,205.912354,214.8258288,189.926902,46.4775648,85.0541472,152.330743,249.9864518,93.6378975,35.3699493,64.3492836,17.6681165,181.4934696,0,62.0344581,68.1065809,0,50.7657736,174.643308,29.46024,53.4828476,24.1838709,148.6709175,111.3073704,146.8116396
LOR021C2991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.3020672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6235738,0,0,0
LOR021C5739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.2641223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOR022C11122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.70333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOR022C11160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.8409625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOR022C3734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.84452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOR022C5210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635.386015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.780557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOR022C7307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.280515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOR022C7928,0,0,250.9091194,0,171.3816986,0,212.1714945,95.7854384,199.1424084,0,43.247895,0,55.9890554,153.4225457,6.3527516,0,49.134705,58.7312803,36.0417,112.707413,0,0,2.4636335,61.1754066,22.8095972,0,267.1484188,31.9515595,101.125528,35.5215897,25.8594136,39.1036406,61.1051946,49.1284454,41.9502104,94.3032165,0,0,30.887785,135.4630908,84.8713936,139.6716668,128.8254782,165.6315384,31.1144556,73.0823067,12.1440828,19.0785552,108.035788,16.7746876,39.358648,54.598494,25.9435326,30.2001561,176.3303472,0,189.6205248,307.7991179,194.3852932,36.4969252,217.628985,278.7848538,296.0700601,8.7017446,91.9471332,0,29.2988224,61.0834308,0,67.4759536,36.0461844,122.912255,322.2239724,201.6093726,138.7600002,126.3462248,9.94014,7.4234601,112.0877901,140.3242176,30.8677273,143.41747,272.8331025,116.4166865,67.856853,129.3072417,120.357323,168.4039067,76.3706538,241.7930384,72.9887002,64.656828,95.9062797,135.5987535,0,6.3356416,82.5958616,200.33751,68.7553155,430.3467252,276.8527137,272.9286164,28.450112,57.389727,107.5560408,207.885615,279.5571402,109.3146047,41.7887043,39.0106422,11.7613909,236.4685421,0,81.6435417,106.681704,0,70.3440034,203.526036,19.03788,73.6335649,25.9672063,0,132.7080864,89.8540236
LOR026C1504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6957775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOR028C10279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.809982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOR030C6624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.8624914,0,0,0,0,0,0,0,3.9973524,40.2277717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.5414444,0,0,0,0,0,0,0,0,0,0,0,0,0
LOR030C7345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.1107918,0,0,0,0,0,0,0,11.3132436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.7273146,0,0,0
LOR033C11205,0,0,269.9698273,0,206.2891712,0,268.7653115,114.5568736,208.0702962,0,58.27446,0,73.697747,186.6041564,0,0,53.6480466,102.7237253,37.68857,152.723298,0,0,3.1438445,85.171002,36.7083808,0,335.6376344,54.990257,124.3664835,52.4245696,30.53326,45.8170774,60.7622952,52.7123756,50.8263152,123.9431479,0,0,30.54053,149.7220834,92.2580862,165.4663482,140.7328224,182.6191426,35.6919456,87.8363109,14.7694926,15.874968,125.6490424,22.5955182,44.6480692,56.112357,35.8094121,33.1098408,187.9120656,0,219.6715248,406.6578522,223.7368126,45.3092056,261.387525,349.558821,315.6639896,10.1889799,77.201938,0,40.6217798,73.3465796,0,144.8978448,44.9156808,137.116715,365.4609948,236.4440058,154.2845052,165.7790528,21.69258,8.8746165,179.350245,230.19696,55.8305358,172.4604784,341.6568855,137.4799054,97.808538,148.2803595,145.0082531,175.0860507,98.9998604,267.2546584,88.237253,97.147746,103.9563811,146.014365,0,5.7412736,78.7140642,204.716046,62.4176301,431.1205668,287.9010641,314.3222478,273.666428,60.6888939,117.0428508,255.319845,324.5179498,125.0409293,46.3475859,73.6647615,23.5560926,260.9548499,0,84.587049,93.5475849,0,71.0611016,262.526922,39.7467,82.0352386,34.6382659,204.0457965,148.7374812,197.4549456
LOR034C11582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.6424823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOR034C7874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1232.061889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.4725852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOR034C936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277.797842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOR0422C10566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573.6716734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOR0422C3205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425.8538766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOR0422C3539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.4403152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOR0422C5714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.8374312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOR0422C5793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494.3879244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
